Name,Unit,Price,Total,Link
Raspberry Pi,1,152.24,152.24,https://www.aliexpress.com/item/1005009689332729.html?spm=a2g0o.cart.0.0.503b38dajCf6J9&mp=1&pdp_npi=5%40dis%21USD%21USD%20190.30%21USD%20152.24%21%21USD%20147.24%21%21%21%4021015e8517662488634726191eafa4%2112000049871499727%21ct%21BD%216357845810%21%211%210
"720p USB Camera Module 30fps,1280x720,For Raspberry Pie",1,15.23,15.23,https://www.aliexpress.com/item/1005004542714669.html?spm=a2g0o.cart.0.0.503b38dajCf6J9&mp=1&pdp_npi=5%40dis%21USD%21USD%2016.26%21USD%2015.23%21%21USD%2015.23%21%21%21%402141115b17662516148357896ebe35%2112000029556129985%21ct%21BD%216357845810%21%211%210
L298N DC Motor Driver Module,1,3.85,3.85,https://www.aliexpress.com/item/1005010480737562.html?spm=a2g0o.cart.0.0.503b38dajCf6J9&mp=1&pdp_npi=5%40dis%21USD%21USD%2011.17%21USD%203.85%21%21USD%203.85%21%21%21%4021015e8517662488634726191eafa4%2112000052548454598%21ct%21BD%216357845810%21%211%210
LCD1602+I2C Module Blue,1,6.33,6.33,https://www.aliexpress.com/item/1005006964073869.html?spm=a2g0o.cart.0.0.503b38dajCf6J9&mp=1&pdp_npi=5%40dis%21USD%21USD%206.33%21USD%206.33%21%21USD%206.33%21%21%21%4021015e8517662488634726191eafa4%2112000038877067802%21ct%21BD%216357845810%21%211%210
Push Switch,1,4.25,4.25,https://www.aliexpress.com/item/1005005959433891.html?spm=a2g0o.cart.0.0.503b38dajCf6J9&mp=1&pdp_npi=5%40dis%21USD%21USD%204.28%21USD%204.25%21%21USD%204.25%21%21%21%4021015e8517662488634726191eafa4%2112000046232517889%21ct%21BD%216357845810%21%211%210
1Set Infrared Remote Control Module Wireless IR Receiver Module ,1,2.86,2.86,https://www.aliexpress.com/item/1005006570597115.html?spm=a2g0o.cart.0.0.503b38dajCf6J9&mp=1&pdp_npi=5%40dis%21USD%21USD%208.66%21USD%202.86%21%21USD%202.86%21%21%21%4021015e8517662488634726191eafa4%2112000037952903384%21ct%21BD%216357845810%21%211%210
IR Infrared Transmitter Module ,1,2.34,2.34,https://www.aliexpress.com/item/1005006710498760.html?spm=a2g0o.cart.0.0.503b38dajCf6J9&mp=1&pdp_npi=5%40dis%21USD%21USD%208.90%21USD%202.94%21%21USD%202.94%21%21%21%4021015e8517662488634726191eafa4%2112000038068193592%21ct%21BD%216357845810%21%211%210
MPU-6050,1,2.94,2.94,https://www.aliexpress.com/item/1005006710498760.html?spm=a2g0o.cart.0.0.503b38dajCf6J9&mp=1&pdp_npi=5%40dis%21USD%21USD%208.90%21USD%202.94%21%21USD%202.94%21%21%21%4021015e8517662488634726191eafa4%2112000038068193592%21ct%21BD%216357845810%21%211%210
MQ-2 MQ2 Smoke Sensor,1,3.06,3.06,https://www.aliexpress.com/item/1005006177010905.html?spm=a2g0o.cart.0.0.503b38dajCf6J9&mp=1&pdp_npi=5%40dis%21USD%21USD%208.76%21USD%203.06%21%21USD%203.06%21%21%21%4021015e8517662488634726191eafa4%2112000036143156306%21ct%21BD%216357845810%21%211%210
PN532 NFC NXP RFID Module ,1,2.6,2.6,https://www.aliexpress.com/item/1005006371225879.html?spm=a2g0o.cart.0.0.503b38dajCf6J9&mp=1&pdp_npi=5%40dis%21USD%21USD%207.65%21USD%202.60%21%21USD%202.60%21%21%21%4021015e8517662488634726191eafa4%2112000036932461180%21ct%21BD%216357845810%21%211%210
